歌手名,歌手地区,歌手id,歌手图片
TWICE (트와이스),,001p0vF44ewiwB,http://y.gtimg.cn/music/photo_new/T001R150x150M000001p0vF44ewiwB.webp
房东的猫,,000PeZCQ1i4XVs,http://y.gtimg.cn/music/photo_new/T001R150x150M000000PeZCQ1i4XVs.webp
袁娅维,,00472DR10Ytv83,http://y.gtimg.cn/music/photo_new/T001R150x150M00000472DR10Ytv83.webp
南征北战NZBZ,,003ZQQb64D5317,http://y.gtimg.cn/music/photo_new/T001R150x150M000003ZQQb64D5317.webp
王心凌,,003RVAdJ1YT5AI,http://y.gtimg.cn/music/photo_new/T001R150x150M000003RVAdJ1YT5AI.webp
吴青峰,,004COQ9L4X13uj,http://y.gtimg.cn/music/photo_new/T001R150x150M000004COQ9L4X13uj.webp
周慧敏,,0000ETfl2XvUfM,http://y.gtimg.cn/music/photo_new/T001R150x150M0000000ETfl2XvUfM.webp
叶炫清,,000mjQA01OD3Mp,http://y.gtimg.cn/music/photo_new/T001R150x150M000000mjQA01OD3Mp.webp
胡歌,,003Yjsq911oy3t,http://y.gtimg.cn/music/photo_new/T001R150x150M000003Yjsq911oy3t.webp
银临,,001axJJM4SezGt,http://y.gtimg.cn/music/photo_new/T001R150x150M000001axJJM4SezGt.webp
邓丽君,,000kfe022gdaAn,http://y.gtimg.cn/music/photo_new/T001R150x150M000000kfe022gdaAn.webp
吴雨霏,,002nWBET2t5iFx,http://y.gtimg.cn/music/photo_new/T001R150x150M000002nWBET2t5iFx.webp
郑源,,001e4pOU25pgzC,http://y.gtimg.cn/music/photo_new/T001R150x150M000001e4pOU25pgzC.webp
范玮琪,,003vyG9q2klWs4,http://y.gtimg.cn/music/photo_new/T001R150x150M000003vyG9q2klWs4.webp
肖战,,0022eAG537I1bg,http://y.gtimg.cn/music/photo_new/T001R150x150M0000022eAG537I1bg.webp
梁咏琪,,003RfioZ1j7KJR,http://y.gtimg.cn/music/photo_new/T001R150x150M000003RfioZ1j7KJR.webp
徐秉龙,,003NTUrM17PJhv,http://y.gtimg.cn/music/photo_new/T001R150x150M000003NTUrM17PJhv.webp
伍佰 & China Blue,,004OTPJW1frR0y,http://y.gtimg.cn/music/photo_new/T001R150x150M000004OTPJW1frR0y.webp
阿杜,,0022VtZd19rZpi,http://y.gtimg.cn/music/photo_new/T001R150x150M0000022VtZd19rZpi.webp
陈瑞,,003Pcyjw2AAnGS,http://y.gtimg.cn/music/photo_new/T001R150x150M000003Pcyjw2AAnGS.webp
刘珂矣,,0020uUft0MjWjW,http://y.gtimg.cn/music/photo_new/T001R150x150M0000020uUft0MjWjW.webp
古巨基,,000NFT2p1GbnPB,http://y.gtimg.cn/music/photo_new/T001R150x150M000000NFT2p1GbnPB.webp
Lady Gaga,,001D3C3T2wxP74,http://y.gtimg.cn/music/photo_new/T001R150x150M000001D3C3T2wxP74.webp
六哲,,003wBqzB3ZJaB9,http://y.gtimg.cn/music/photo_new/T001R150x150M000003wBqzB3ZJaB9.webp
Tank,,002fvJdl2yNaXT,http://y.gtimg.cn/music/photo_new/T001R150x150M000002fvJdl2yNaXT.webp
K-391,,004bkgRA2eGJyK,http://y.gtimg.cn/music/photo_new/T001R150x150M000004bkgRA2eGJyK.webp
萧亚轩,,002tkdEU4gLVqO,http://y.gtimg.cn/music/photo_new/T001R150x150M000002tkdEU4gLVqO.webp
半阳,,0013RsPD3Xs0FG,http://y.gtimg.cn/music/photo_new/T001R150x150M0000013RsPD3Xs0FG.webp
韩宝仪,,001yE9K93DI7FQ,http://y.gtimg.cn/music/photo_new/T001R150x150M000001yE9K93DI7FQ.webp
陈慧琳,,000ynT3J1Hrdp1,http://y.gtimg.cn/music/photo_new/T001R150x150M000000ynT3J1Hrdp1.webp
胜屿,,001z6uGh1j5qBh,http://y.gtimg.cn/music/photo_new/T001R150x150M000001z6uGh1j5qBh.webp
林子祥,,003xM8SD2WibJI,http://y.gtimg.cn/music/photo_new/T001R150x150M000003xM8SD2WibJI.webp
雨中百合,,001tYW3b0S3Rd9,http://y.gtimg.cn/music/photo_new/T001R150x150M000001tYW3b0S3Rd9.webp
GAI周延,,004LV0lb4fOw89,http://y.gtimg.cn/music/photo_new/T001R150x150M000004LV0lb4fOw89.webp
周柏豪,,00180Rk61RE4qh,http://y.gtimg.cn/music/photo_new/T001R150x150M00000180Rk61RE4qh.webp
Avicii (艾维奇),,001jgAtj3LtJnE,http://y.gtimg.cn/music/photo_new/T001R150x150M000001jgAtj3LtJnE.webp
云朵,,002U7Psh3e5vfz,http://y.gtimg.cn/music/photo_new/T001R150x150M000002U7Psh3e5vfz.webp
李玉刚,,000Qm9wO1bcM6J,http://y.gtimg.cn/music/photo_new/T001R150x150M000000Qm9wO1bcM6J.webp
萧敬腾,,004bsIDK0awMOv,http://y.gtimg.cn/music/photo_new/T001R150x150M000004bsIDK0awMOv.webp
广东雨神,,004Hxj1m48xwGi,http://y.gtimg.cn/music/photo_new/T001R150x150M000004Hxj1m48xwGi.webp
Troye Sivan (特洛耶·希文),,004LhKMW2CWJox,http://y.gtimg.cn/music/photo_new/T001R150x150M000004LhKMW2CWJox.webp
牛奶咖啡,,0012bj8d36Xkw1,http://y.gtimg.cn/music/photo_new/T001R150x150M0000012bj8d36Xkw1.webp
Shawn Mendes (肖恩·蒙德兹),,001NODJ71LGPD5,http://y.gtimg.cn/music/photo_new/T001R150x150M000001NODJ71LGPD5.webp
许飞,,000ohzzi3esYiQ,http://y.gtimg.cn/music/photo_new/T001R150x150M000000ohzzi3esYiQ.webp
贺敬轩,,003tfL1I07zOeN,http://y.gtimg.cn/music/photo_new/T001R150x150M000003tfL1I07zOeN.webp
草蜢,,003pVJZJ2uEq4j,http://y.gtimg.cn/music/photo_new/T001R150x150M000003pVJZJ2uEq4j.webp
弦子,,002LJqM93gNF52,http://y.gtimg.cn/music/photo_new/T001R150x150M000002LJqM93gNF52.webp
Two Steps From Hell (两步逃离地狱),,002Vj8o12l10eK,http://y.gtimg.cn/music/photo_new/T001R150x150M000002Vj8o12l10eK.webp
Calvin Harris (加尔文·哈里斯),,004RKkVx1tZcSC,http://y.gtimg.cn/music/photo_new/T001R150x150M000004RKkVx1tZcSC.webp
叶倩文,,00128nnX2r4UFX,http://y.gtimg.cn/music/photo_new/T001R150x150M00000128nnX2r4UFX.webp
动力火车,,000dIIFL1yv5e4,http://y.gtimg.cn/music/photo_new/T001R150x150M000000dIIFL1yv5e4.webp
李翊君,,000Rws1M0RnZF9,http://y.gtimg.cn/music/photo_new/T001R150x150M000000Rws1M0RnZF9.webp
海鸣威,,0000QHSk0ruY3Y,http://y.gtimg.cn/music/photo_new/T001R150x150M0000000QHSk0ruY3Y.webp
王源,,000IBYF50SRnXP,http://y.gtimg.cn/music/photo_new/T001R150x150M000000IBYF50SRnXP.webp
郑中基,,001XOTno2nFjJP,http://y.gtimg.cn/music/photo_new/T001R150x150M000001XOTno2nFjJP.webp
王嘉尔,,00216fJA496xQG,http://y.gtimg.cn/music/photo_new/T001R150x150M00000216fJA496xQG.webp
曲婉婷,,0030RkE50nmpWC,http://y.gtimg.cn/music/photo_new/T001R150x150M0000030RkE50nmpWC.webp
段奥娟,,002YynFd2BuTt9,http://y.gtimg.cn/music/photo_new/T001R150x150M000002YynFd2BuTt9.webp
刘宪华 (Henry),,004HidEP3pkcji,http://y.gtimg.cn/music/photo_new/T001R150x150M000004HidEP3pkcji.webp
李玖哲,,001UaHMG07W4SB,http://y.gtimg.cn/music/photo_new/T001R150x150M000001UaHMG07W4SB.webp
张艺兴,,002MfEld3FWp0R,http://y.gtimg.cn/music/photo_new/T001R150x150M000002MfEld3FWp0R.webp
以冬,,000y58BN18are3,http://y.gtimg.cn/music/photo_new/T001R150x150M000000y58BN18are3.webp
R3HAB,,000CNXu71VVyXU,http://y.gtimg.cn/music/photo_new/T001R150x150M000000CNXu71VVyXU.webp
李代沫,,003mySXl30dc0S,http://y.gtimg.cn/music/photo_new/T001R150x150M000003mySXl30dc0S.webp
孙楠,,0019iLuN2glWFi,http://y.gtimg.cn/music/photo_new/T001R150x150M0000019iLuN2glWFi.webp
韩安旭,,004QoDUs3jfOC6,http://y.gtimg.cn/music/photo_new/T001R150x150M000004QoDUs3jfOC6.webp
